position_cycle_id,domain_class,stable_trade_id,trade_id,symbol,direction,cycle_start_time_beijing,cycle_end_time_beijing,root_position_source_row,root_fill_count,realized_pnl,commission_cost,funding_fee_signed,funding_event_count,legacy_strict_net,commission_rebate,rebate_event_count,economic_net,economic_outcome,funding_zero_semantics,unknown_coercion
S05-CYC-023febfa9a0586d6fbd0618d,ACTIVE,K03-ACT-023FEBFA9A0586D6FBD0618D,T020,MUUSDT,SHORT,2026-05-30T03:37:09+08:00,2026-05-31T01:49:35+08:00,30,846,-4460.64539498,137.85838841,47.83234101,1,-4550.67144238,27.57167767,822,-4523.09976471,LOSS,OBSERVED_EVENT_SUM,NONE
S05-CYC-e3da07704ccef18d149f01e2,ACTIVE,K03-ACT-E3DA07704CCEF18D149F01E2,T021,BNBUSDT,LONG,2026-05-31T01:56:24+08:00,2026-05-31T01:58:20+08:00,31,160,222.11069995,149.84105530,0,0,72.26964465,29.96821107,160,102.23785572,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-5655fe3fffdf1b15d6fceca4,ACTIVE,K03-ACT-5655FE3FFFDF1B15D6FCECA4,T022,BNBUSDT,LONG,2026-05-31T03:10:19+08:00,2026-05-31T03:16:03+08:00,32,226,359.94339998,133.30490345,0,0,226.63849653,26.66098070,226,253.29947723,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-aa2c4e04216bcc4068ff08e4,ACTIVE,K03-ACT-AA2C4E04216BCC4068FF08E4,T023,BNBUSDT,SHORT,2026-05-31T03:40:05+08:00,2026-05-31T03:44:37+08:00,33,77,167.87089969,125.28781453,0,0,42.58308516,25.05756292,77,67.64064808,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-4d9ab6c4634c48136bb62e49,ACTIVE,K03-ACT-4D9AB6C4634C48136BB62E49,T024,BNBUSDT,SHORT,2026-05-31T03:45:32+08:00,2026-05-31T03:59:07+08:00,34,80,58.90429993,76.37835559,0,0,-17.47405566,15.27567112,80,-2.19838454,LOSS,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-31a2e6112dd1178733ce9ca3,ACTIVE,K03-ACT-31A2E6112DD1178733CE9CA3,T025,BNBUSDT,LONG,2026-05-31T15:23:53+08:00,2026-05-31T18:07:23+08:00,35,57,134.99999980,86.82539998,0,0,48.17459982,17.36508002,57,65.53967984,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-72594aa6145dc016ea92f48e,ACTIVE,K03-ACT-72594AA6145DC016EA92F48E,T026,BTCUSDT,LONG,2026-05-31T02:28:16+08:00,2026-05-31T22:14:06+08:00,36,14,-380.7000,154.92405000,-14.90903516,2,-550.53308516,30.98481000,14,-519.54827516,LOSS,OBSERVED_EVENT_SUM,NONE
S05-CYC-14623d98aa55518858554c6f,ACTIVE,K03-ACT-14623D98AA55518858554C6F,T027,BNBUSDT,SHORT,2026-05-31T22:11:17+08:00,2026-05-31T22:14:58+08:00,37,10,830.0000,58.18999999,0,0,771.81000001,11.63800000,10,783.44800001,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-6e1f648610e2f270922bd545,ACTIVE,K03-ACT-6E1F648610E2F270922BD545,T028,BTCUSDT,SHORT,2026-06-01T00:38:35+08:00,2026-06-01T06:04:00+08:00,38,19,249.99999997,294.69399998,0,0,-44.69400001,58.93880000,19,14.24479999,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-7f70fdbe0419ceb1dec88602,ACTIVE,K03-ACT-7F70FDBE0419CEB1DEC88602,T029,BTCUSDT,SHORT,2026-06-01T07:03:48+08:00,2026-06-01T09:31:04+08:00,39,3,555.000,29.53340000,4.2004629,1,529.66706290,5.90668000,3,535.57374290,WIN,OBSERVED_EVENT_SUM,NONE
